,state,county,year,urate,medhous
341,South Carolina,Lexington,2004,5.3,46517.0
342,South Carolina,York,2004,7.883333333333333,47351.0
343,South Carolina,Berkeley,2004,6.033333333333333,43545.0
344,South Carolina,Anderson,2004,7.775,38667.0
345,South Carolina,Beaufort,2004,5.408333333333333,48577.0
346,South Carolina,Aiken,2004,6.183333333333333,40052.0
347,South Carolina,Dorchester,2004,5.533333333333333,47124.0
348,Washington,King,2004,4.925,55969.0
349,Washington,Pierce,2004,7.25,49790.0
350,Washington,Snohomish,2004,5.508333333333333,54584.0
351,Washington,Spokane,2004,6.808333333333333,40526.0
352,Washington,Clark,2004,7.7333333333333325,52120.0
353,Washington,Thurston,2004,5.9833333333333325,52078.0
354,Washington,Kitsap,2004,6.008333333333333,52503.0
355,Washington,Yakima,2004,8.908333333333333,35787.0
356,Washington,Whatcom,2004,6.075,44034.0
357,Washington,Benton,2004,6.225,52922.0
358,Washington,Skagit,2004,7.2333333333333325,45192.0
359,Washington,Cowlitz,2004,8.791666666666666,41893.0
360,Colorado,Denver,2005,5.716666666666667,42576.0
361,Colorado,El Paso,2005,5.325,50878.0
362,Colorado,Arapahoe,2005,5.1,55159.0
363,Colorado,Jefferson,2005,4.933333333333333,60996.0
364,Colorado,Adams,2005,5.75,50798.0
365,Colorado,Larimer,2005,4.408333333333333,49188.0
366,Colorado,Douglas,2005,8.208333333333332,90143.0
367,Colorado,Boulder,2005,4.425,58334.0
368,Colorado,Weid,2005,5.516666666666667,48338.0
369,Colorado,Pueblo,2005,6.8583333333333325,37129.0
370,Colorado,Mesa,2005,4.933333333333333,39750.0
371,Colorado,Broomfield,2005,4.866666666666666,67067.0
372,Idaho,Ada,2005,3.2666666666666666,51343.0
373,Idaho,Canyon,2005,4.4,40785.0
374,Idaho,Kootenai,2005,4.466666666666667,45673.0
375,Idaho,Bonneville,2005,3.0,37641.0
376,Idaho,Bannock,2005,3.8,38406.0
377,Idaho,Twin Falls,2005,3.6416666666666666,40771.0
378,Idaho,Bingham,2005,3.675,36731.0
379,Idaho,Bonner,2005,5.091666666666667,38750.0
380,Idaho,Nez Perce,2005,4.341666666666667,36781.0
381,Idaho,Latah,2005,3.4916666666666667,34727.0
382,Idaho,Madison,2005,2.7,42571.0
383,Idaho,Jefferson,2005,3.2,40144.0
384,Kansas,Johnson,2005,4.641666666666667,66926.0
385,Kansas,Sedgwick,2005,8.75,43340.0
386,Kansas,Shawnee,2005,5.5,44285.0
387,Kansas,Wyandotte,2005,5.516666666666667,34593.0
388,Kansas,Douglas,2005,4.016666666666667,40136.0
389,Kansas,Leavenworth,2005,6.216666666666667,54321.0
390,Kansas,Riley,2005,3.8,35071.0
391,Kansas,Butler,2005,5.6,49091.0
392,Kansas,Reno,2005,5.016666666666667,39790.0
393,Kansas,Saline,2005,4.425,40268.0
394,Kansas,Crawford,2005,5.8,32550.0
395,Kansas,Finney,2005,4.166666666666666,40333.0
396,Oregon,Multnomah,2005,6.091666666666667,43055.0
397,Oregon,Washington,2005,5.175,53835.0
398,Oregon,Clackamas,2005,5.516666666666667,54743.0
399,Oregon,Lane,2005,6.15,37595.0
400,Oregon,Marion,2005,6.5,43156.0
401,Oregon,Jackson,2005,6.2,40997.0
402,Oregon,Deschutes,2005,5.758333333333333,48626.0
403,Oregon,Linn,2005,7.516666666666666,40007.0
404,Oregon,Douglas,2005,8.208333333333332,36678.0
405,Oregon,Yamhill,2005,6.1,46978.0
406,Oregon,Benton,2005,4.9,45406.0
407,Oregon,Josephine,2005,7.258333333333333,34331.0
408,South Carolina,Greenville,2005,5.975,42714.0
409,South Carolina,Richland,2005,6.458333333333333,43250.0
410,South Carolina,Charleston,2005,5.9,42465.0
411,South Carolina,Horry,2005,6.3,38727.0
412,South Carolina,Spartanburg,2005,8.091666666666665,38197.0
413,South Carolina,Lexington,2005,5.3,46504.0
414,South Carolina,York,2005,7.216666666666666,47245.0
415,South Carolina,Berkeley,2005,5.783333333333333,44733.0
416,South Carolina,Anderson,2005,7.991666666666665,38725.0
417,South Carolina,Beaufort,2005,5.3,49638.0
418,South Carolina,Aiken,2005,6.3583333333333325,41875.0
419,South Carolina,Dorchester,2005,5.7333333333333325,49636.0
420,Washington,King,2005,4.375,58351.0
421,Washington,Pierce,2005,6.25,49636.0
422,Washington,Snohomish,2005,4.766666666666667,54897.0
423,Washington,Spokane,2005,6.025,41584.0
424,Washington,Clark,2005,6.791666666666666,51124.0
425,Washington,Thurston,2005,5.375,49673.0
426,Washington,Kitsap,2005,5.433333333333333,53127.0
427,Washington,Yakima,2005,7.958333333333333,35333.0
428,Washington,Whatcom,2005,5.3583333333333325,44469.0
429,Washington,Benton,2005,6.125,52683.0
430,Washington,Skagit,2005,6.325,48118.0
431,Washington,Cowlitz,2005,7.725,42592.0
432,Colorado,Denver,2006,4.75,41357.0
433,Colorado,El Paso,2006,4.558333333333333,53234.0
434,Colorado,Arapahoe,2006,4.2,55804.0
435,Colorado,Jefferson,2006,4.133333333333333,60784.0
436,Colorado,Adams,2006,4.775,50930.0
437,Colorado,Larimer,2006,3.883333333333333,54241.0
438,Colorado,Douglas,2006,7.508333333333333,93273.0
439,Colorado,Boulder,2006,3.6666666666666665,62322.0
440,Colorado,Weid,2006,4.616666666666666,52037.0
441,Colorado,Pueblo,2006,5.55,36999.0
442,Colorado,Mesa,2006,3.925,42791.0
443,Colorado,Broomfield,2006,4.225,71714.0
444,Idaho,Ada,2006,2.6416666666666666,53909.0
445,Idaho,Canyon,2006,3.9,41734.0
446,Idaho,Kootenai,2006,3.7916666666666665,46867.0
447,Idaho,Bonneville,2006,2.6,40919.0
448,Idaho,Bannock,2006,3.408333333333333,39468.0
449,Idaho,Twin Falls,2006,3.341666666666667,40603.0
450,Idaho,Bingham,2006,3.6666666666666665,40456.0
451,Idaho,Bonner,2006,4.633333333333333,41925.0
452,Idaho,Nez Perce,2006,3.5083333333333333,36961.0
453,Idaho,Latah,2006,3.0166666666666666,34251.0
454,Idaho,Madison,2006,2.6333333333333333,43358.0
455,Idaho,Jefferson,2006,3.0,40050.0
456,Kansas,Johnson,2006,4.141666666666667,69991.0
457,Kansas,Sedgwick,2006,7.65,45036.0
458,Kansas,Shawnee,2006,4.6,44158.0
459,Kansas,Wyandotte,2006,4.808333333333333,36876.0
460,Kansas,Douglas,2006,3.8166666666666664,45797.0
461,Kansas,Leavenworth,2006,5.633333333333333,55141.0
462,Kansas,Riley,2006,3.3666666666666667,37110.0
463,Kansas,Butler,2006,4.6,51254.0
464,Kansas,Reno,2006,4.5,39314.0
465,Kansas,Saline,2006,3.8,42360.0
466,Kansas,Crawford,2006,5.1,31645.0
467,Kansas,Finney,2006,3.4833333333333334,42621.0
468,Oregon,Multnomah,2006,5.175,45542.0
469,Oregon,Washington,2006,4.433333333333333,59456.0
470,Oregon,Clackamas,2006,4.791666666666666,56287.0
471,Oregon,Lane,2006,5.475,42069.0
472,Oregon,Marion,2006,5.716666666666667,45185.0
473,Oregon,Jackson,2006,5.758333333333333,40926.0
474,Oregon,Deschutes,2006,4.666666666666666,50513.0
475,Oregon,Linn,2006,6.6,41115.0
476,Oregon,Douglas,2006,7.508333333333333,38253.0
477,Oregon,Yamhill,2006,5.2,48877.0
478,Oregon,Benton,2006,4.716666666666667,48301.0
479,Oregon,Josephine,2006,6.633333333333333,37858.0
480,South Carolina,Greenville,2006,5.7333333333333325,42276.0
481,South Carolina,Richland,2006,6.2,45236.0
482,South Carolina,Charleston,2006,5.366666666666666,43697.0
483,South Carolina,Horry,2006,5.941666666666666,40723.0
484,South Carolina,Spartanburg,2006,7.091666666666667,40237.0
485,South Carolina,Lexington,2006,5.0,50099.0
486,South Carolina,York,2006,6.8,46561.0
487,South Carolina,Berkeley,2006,5.925,48162.0
488,South Carolina,Anderson,2006,7.25,41066.0
489,South Carolina,Beaufort,2006,5.116666666666666,51209.0
490,South Carolina,Aiken,2006,6.8,43598.0
491,South Carolina,Dorchester,2006,5.408333333333333,50485.0
492,Washington,King,2006,3.633333333333333,63291.0
493,Washington,Pierce,2006,5.533333333333333,53789.0
494,Washington,Snohomish,2006,4.033333333333333,60032.0
495,Washington,Spokane,2006,5.4,42436.0
496,Washington,Clark,2006,6.216666666666667,55459.0
497,Washington,Thurston,2006,4.9833333333333325,53257.0
498,Washington,Kitsap,2006,5.058333333333333,55370.0
499,Washington,Yakima,2006,7.4416666666666655,38797.0
500,Washington,Whatcom,2006,4.908333333333333,44417.0
501,Washington,Benton,2006,6.158333333333333,51490.0
502,Washington,Skagit,2006,5.6,48448.0
503,Washington,Cowlitz,2006,7.033333333333333,44337.0
504,Colorado,Denver,2007,4.116666666666666,44881.0
505,Colorado,El Paso,2007,4.208333333333333,55253.0
506,Colorado,Arapahoe,2007,3.7,59299.0
507,Colorado,Jefferson,2007,3.6166666666666663,64548.0
508,Colorado,Adams,2007,4.175,52544.0
509,Colorado,Larimer,2007,3.333333333333333,52968.0
510,Colorado,Douglas,2007,7.6916666666666655,94042.0
511,Colorado,Boulder,2007,3.25,64299.0
512,Colorado,Weid,2007,4.05,52228.0
513,Colorado,Pueblo,2007,4.658333333333333,40570.0
514,Colorado,Mesa,2007,3.125,49926.0
515,Colorado,Broomfield,2007,3.5,70168.0
516,Idaho,Ada,2007,2.658333333333333,55121.0
517,Idaho,Canyon,2007,3.7,43132.0
518,Idaho,Kootenai,2007,3.341666666666667,51260.0
519,Idaho,Bonneville,2007,2.2,44150.0
520,Idaho,Bannock,2007,2.95,39977.0
521,Idaho,Twin Falls,2007,2.7666666666666666,42714.0
522,Idaho,Bingham,2007,2.666666666666667,42420.0
523,Idaho,Bonner,2007,3.875,40726.0
